"SbjID","Condition","RunNo","TrialNo","TrialNo_modi","CondNo","Sender","Receiver","Context","Sender_Act","Computer_Pos","Arrow_Pos","Sender_Payoff","Sender_Payoff_Disp_Left","Sender_Payoff_Disp_Right","Sender_Kept","Sender_Bribe","Decision","Button","DT","Adv_Pos","Opt_Pos","Sender_Payoff_Final","Receiver_Payoff_Final","You_Payoff_Final","ITI","Zerotime","SessionStartTime","Info_Onset","Decision_Onset","Response_Onset","ITI_Onset","Warning_Onset","sender_inappro","sender_lie","you_conf","you_inappro","SbjID_fMRI","Age","Gender","Education","Major","Handedness","Scanning_date","Scanning_time","Gun_selected","Charity_selected","Task_selected","Run_selected","Trial_selected","Trial_self_selected","Trial_charity_selected","Task1_payoff_sbj","Task1_payoff_sender","Task1_payoff_receiver","Task2_payoff_sbj","Task2_payoff_charity","Task2_payoff_gun","Payoff_showup","Payoff_final","Mach_total","Mach_M","Mach_T","Mach_V","JSS_total","JSS_beneficiary","JSS_observer","JSS_perpetrator","JSS_victim","DonaPref_total"
1,"solo_honesty",1,34,34,1,"H.A.","F.C.","solo","honesty","left","left",88,88,12,44,44,"accept","left",3356,1,1,44,12,44,5500,1116,24169,433708,435213,438569,439091,-999,0,50,0,0,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,35,35,2,"J.X.","H.Z.","solo","lie","left","right",88,12,88,18,70,"accept","left",2825,2,1,18,12,70,4000,1116,24169,444607,446128,448953,449489,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,36,36,2,"A.H.","Z.C.","solo","lie","left","right",96,4,96,19,77,"accept","left",3180,2,1,19,4,77,4000,1116,24169,453500,455005,458185,458716,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_honesty",1,37,37,3,"K.K.","B.K.","dyad","honesty","left","left",72,72,28,29,43,"accept","left",3472,1,1,29,28,43,3500,1116,24169,462728,464233,467705,468228,-999,0,50,0,50,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_honesty",1,38,38,1,"S.M.","H.O.","solo","honesty","left","left",64,64,36,38,26,"accept","left",5869,1,1,38,36,26,3500,1116,24169,471738,473243,479112,479645,-999,0,50,0,0,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_lie",1,39,39,4,"F.K.","D.G.","dyad","lie","right","left",96,96,4,67,29,"invalid","noresp",8000,1,1,96,4,0,3000,1116,24169,483156,484677,-999,493687,492684,90,80,100,80,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,40,40,2,"B.B.","C.Z.","solo","lie","right","left",64,64,36,51,13,"reject","right",6103,1,1,0,64,0,4500,1116,24169,496696,498201,504304,504837,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_honesty",1,41,41,1,"Z.Y.","K.X.","solo","honesty","left","left",96,96,4,67,29,"accept","left",2560,1,1,67,4,29,5500,1116,24169,509351,510855,513415,513948,-999,0,50,0,0,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"solo_lie",1,42,42,2,"J.Q.","T.Z.","solo","lie","left","right",96,4,96,29,67,"accept","left",3438,2,1,29,4,67,5000,1116,24169,519464,520969,524407,524930,-999,100,80,100,100,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
1,"dyad_lie",1,43,43,4,"X.X.","D.P.","dyad","lie","right","left",64,64,36,58,6,"reject","right",4509,1,1,0,64,0,5000,1116,24169,529945,531450,535959,536482,-999,90,80,100,80,11001,23,"M","Master","Computer","R","30.10.2017","15:00-16:30","SCI","oceana","Task1","Run1",10,-999,-999,62,26,12,-999,-999,-999,80,142,58,8,27,23,135,28,27,48,32,2
